id,Org_1,Org_2,Org_4,Org_8,Org_12,Org_13,Org_14,Org_15,Org_16,Org_19,Org_20,Org_22,Org_23,Org_24,Org_29,Org_32,Org_34,Org_37,Org_38,Org_39,Org_40,Org_44,Org_45,Org_48,Org_50,Org_51,Org_52,Org_55,Org_56,Org_58,Org_59,Org_60
155,2,2,2,2,3,1,1,3,2,2,2,3,1,2,2,2,2,2,1,1,2,2,2,1,3,2,1,2,3,2,3,1
156,1,2,2,3,3,2,1,2,2,1,2,2,2,2,3,2,2,2,1,2,3,3,3,2,2,1,3,1,3,2,1,1
157,1,2,2,2,2,2,2,3,2,3,2,3,2,2,3,2,1,2,1,2,2,2,2,1,3,2,2,3,2,2,3,2
158,2,2,2,3,2,3,2,2,2,1,2,1,2,2,3,2,1,1,1,2,2,2,3,2,3,2,2,3,2,3,3,1
159,1,1,1,3,2,2,1,3,1,2,2,3,1,2,2,2,1,1,2,1,2,2,3,3,3,3,2,3,2,2,3,2
161,2,1,2,3,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,3,2,2,3,1,2,3,2,3,2,2,1
162,3,2,2,2,2,3,1,3,2,1,2,2,2,1,2,2,1,1,1,1,2,2,3,2,3,2,1,3,2,3,3,2
163,1,1,2,3,2,3,1,3,3,2,1,3,1,2,2,2,1,2,1,1,2,2,3,1,1,2,2,3,2,3,3,1
164,1,2,2,3,3,2,1,2,2,3,1,3,2,2,2,2,1,2,1,2,2,2,2,2,1,1,3,2,3,3,1,2
165,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3
166,2,2,2,1,1,2,1,1,3,3,2,2,2,3,3,2,1,2,1,2,3,2,3,3,2,2,2,3,2,2,3,1
167,3,2,1,3,3,1,2,2,3,3,1,2,2,2,2,2,2,1,2,1,3,2,2,2,1,1,2,3,3,3,1,1
168,1,1,1,3,1,2,2,2,2,3,2,1,2,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,2,3,3,1
169,1,2,2,3,2,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,1,2,3,3,3,3,2,1
171,3,2,2,3,2,2,2,2,3,3,2,1,2,2,2,1,2,2,1,2,2,2,3,2,2,2,3,3,3,3,2,1
172,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,3,1,2,1,2,2,2,2,1,2
173,1,1,1,2,2,2,2,3,2,3,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,1,2,3,2,3,3,2
174,2,2,2,2,2,2,2,3,2,2,1,1,1,2,2,2,2,1,3,2,1,2,3,1,2,2,2,3,3,3,3,2
175,2,2,3,2,2,2,2,2,3,2,3,3,2,2,3,3,3,2,1,2,2,2,2,2,3,2,1,2,2,2,1,2
